station,valid,tmpc,relh,wet_bulb_temp,hour
VABV,2018-01-01 09:00:00+05:30,18.0,51.98,12.2271701611723,9
VABV,2018-01-01 09:30:00+05:30,19.0,48.83,12.687412998115487,9
VABV,2018-01-01 10:30:00+05:30,20.0,45.88,13.141344567868746,10
VABV,2018-01-01 16:30:00+05:30,27.0,36.79,17.424581849816906,16
VABV,2018-01-01 17:30:00+05:30,26.0,44.52,17.965970449364438,17
VABV,2018-01-01 19:00:00+05:30,23.0,60.67,17.79875501516778,19
VABV,2018-01-02 09:00:00+05:30,17.0,51.72,11.32783548020112,9
VABV,2018-01-02 09:30:00+05:30,18.0,55.63,12.67856171588635,9
VABV,2018-01-02 10:30:00+05:30,21.0,56.38,15.426580302175065,10
VABV,2018-01-02 16:30:00+05:30,26.0,47.52,18.459090654296627,16
VABV,2018-01-02 17:30:00+05:30,25.0,50.43,18.064737200151033,17
VABV,2018-01-02 18:00:00+05:30,25.0,53.8,18.580166187528878,18
VABV,2018-01-03 09:30:00+05:30,21.0,49.37,14.471926706986036,9
VABV,2018-01-03 18:30:00+05:30,24.0,57.12,18.189830790929882,18
VABV,2018-01-04 16:30:00+05:30,27.0,44.8,18.849132994790182,16
VABV,2018-01-04 17:30:00+05:30,26.0,44.52,17.965970449364438,17
VABV,2018-01-04 18:00:00+05:30,25.0,50.43,18.064737200151033,18
VABV,2018-01-04 18:30:00+05:30,24.0,57.12,18.189830790929882,18
VABV,2018-01-05 17:30:00+05:30,25.0,41.42,16.622104424101966,17
VABV,2018-01-06 09:30:00+05:30,19.0,63.82,14.586762736209774,9
VABV,2018-01-06 16:30:00+05:30,25.0,36.22,15.732835312878382,16
VABV,2018-01-06 17:30:00+05:30,25.0,36.22,15.732835312878382,17
VABV,2018-01-06 18:30:00+05:30,23.0,46.71,15.79102038248439,18
VABV,2018-01-07 18:00:00+05:30,25.0,33.85,15.309553726712728,18
VABV,2018-01-08 09:00:00+05:30,15.0,54.86,9.945300149098735,9
VABV,2018-01-08 09:30:00+05:30,16.0,55.12,10.85481413895277,9
VABV,2018-01-09 09:00:00+05:30,17.0,72.38,13.76263898045405,9
VABV,2018-01-09 09:30:00+05:30,19.0,63.82,14.586762736209774,9
VABV,2018-01-09 10:00:00+05:30,20.0,64.04,15.526560189027059,10
VABV,2018-01-09 10:30:00+05:30,22.0,56.63,16.34630821807711,10
VABV,2018-01-09 16:30:00+05:30,26.0,47.52,18.459090654296627,16
VABV,2018-01-09 17:30:00+05:30,26.0,50.69,18.967556191082586,17
VABV,2018-01-09 18:00:00+05:30,25.0,57.36,19.113532278876278,18
VABV,2018-01-09 18:30:00+05:30,25.0,61.13,19.667760289899725,18
VABV,2018-01-09 19:30:00+05:30,23.0,64.69,18.353265282642727,19
