station,valid,tmpc,relh,vsby,wet_bulb_temp,hour
VABJ,2018-04-18 11:30:00+05:30,37.0,17.05,3.73,19.63526257577946,11
VABJ,2021-11-18 00:00:00+05:30,18.0,67.95,3.11,14.171496504945317,0
VABJ,2022-08-17 14:00:00+05:30,27.0,94.27,3.11,26.26216276329333,14
VABJ,2022-09-16 10:30:00+05:30,30.0,70.27,3.73,25.63783219371119,10
VABJ,2022-09-17 03:00:00+05:30,25.0,100.0,3.73,25.045575127179422,3
VABJ,2022-09-17 06:00:00+05:30,25.0,94.19,3.11,24.261887498868386,6
VABJ,2022-09-18 18:30:00+05:30,30.0,70.27,3.73,25.63783219371119,18
VABJ,2022-09-25 09:00:00+05:30,28.0,74.28,3.73,24.370401437634545,9
VABJ,2022-09-28 14:00:00+05:30,33.0,52.48,3.73,25.339612760587485,14
VABJ,2022-09-29 01:00:00+05:30,26.0,83.55,3.73,23.78571575499304,1
VABJ,2022-09-29 02:30:00+05:30,25.0,83.44,3.73,22.801408362969315,2
VABJ,2022-09-30 03:00:00+05:30,24.0,88.59,3.73,22.52164549293567,3
VABJ,2022-09-30 05:30:00+05:30,23.0,88.51,3.73,21.52950129601747,5
VABJ,2022-09-30 06:00:00+05:30,22.0,94.06,3.73,21.261516803125094,6
VABJ,2022-09-30 07:00:00+05:30,23.0,88.51,3.73,21.52950129601747,7
VABJ,2022-10-01 19:30:00+05:30,29.0,65.95,3.73,24.03831360249685,19
VABJ,2022-10-01 20:00:00+05:30,29.0,65.95,3.73,24.03831360249685,20
VABJ,2022-10-01 20:30:00+05:30,28.0,69.9,3.73,23.71755221657347,20
VABJ,2022-10-01 21:00:00+05:30,28.0,69.9,3.73,23.71755221657347,21
VABJ,2022-10-02 04:00:00+05:30,24.0,88.59,3.73,22.52164549293567,4
VABJ,2022-10-02 05:00:00+05:30,24.0,94.14,3.73,23.260686047833286,5
VABJ,2022-10-02 05:30:00+05:30,24.0,94.14,3.73,23.260686047833286,5
VABJ,2022-10-03 08:00:00+05:30,26.0,78.62,3.73,23.09569749272355,8
VABJ,2022-10-04 13:00:00+05:30,33.0,52.48,3.73,25.339612760587485,13
VABJ,2022-10-04 14:00:00+05:30,33.0,49.36,3.73,24.754701675952038,14
VABJ,2022-10-04 14:30:00+05:30,33.0,46.41,3.73,24.18607442330013,14
VABJ,2022-10-07 08:30:00+05:30,28.0,74.28,3.73,24.370401437634545,8
VABJ,2022-10-12 13:00:00+05:30,36.0,32.54,3.73,23.55250331948324,13
