station,valid,tmpc,relh,vsby,wet_bulb_temp,hour
VOGO,2005-11-12 09:30:00+05:30,29.0,32.73,6.00,18.194284583318144,9
VOGO,2006-07-16 09:30:00+05:30,27.0,88.83,4.00,25.50034994752889,9
VOGO,2009-02-05 08:30:00+05:30,23.6,73.08,2.50,20.053187755830354,8
VOGO,2009-02-05 14:30:00+05:30,30.0,46.78,2.50,21.721306361465807,14
VOGO,2016-01-14 15:00:00+05:30,31.0,40.41,3.73,21.343908822117765,15
VOGO,2016-01-15 13:00:00+05:30,30.0,51.72,3.73,22.597901796610376,13
VOGO,2016-01-15 14:00:00+05:30,31.0,43.07,3.73,21.864750414090658,14
VOGO,2016-01-16 06:00:00+05:30,21.0,88.34,3.73,19.545088671122812,6
VOGO,2016-01-16 07:30:00+05:30,22.0,78.04,2.80,19.194989333070364,7
VOGO,2016-01-16 14:00:00+05:30,31.0,43.07,3.73,21.864750414090658,14
VOGO,2016-01-18 05:30:00+05:30,22.0,83.09,3.73,19.849236627090356,5
VOGO,2016-01-18 14:30:00+05:30,30.0,45.61,4.97,21.50799425238435,14
VOGO,2016-01-20 09:00:00+05:30,25.0,69.33,3.73,20.84335250192849,9
VOGO,2016-01-21 04:30:00+05:30,21.0,94.01,3.73,20.26093566375306,4
VOGO,2016-01-23 04:00:00+05:30,24.0,73.61,2.49,20.50197318303141,4
VOGO,2016-01-24 09:30:00+05:30,24.0,78.34,2.49,21.145134339610852,9
VOGO,2016-01-24 15:00:00+05:30,32.0,33.56,3.73,20.69804768777717,15
VOGO,2016-01-26 13:30:00+05:30,33.0,38.45,6.21,22.559340847364677,13
VOGO,2016-01-26 17:30:00+05:30,32.0,40.69,6.21,22.216011991461862,17
VOGO,2016-01-27 09:00:00+05:30,24.0,73.61,3.11,20.50197318303141,9
VOGO,2016-01-28 04:30:00+05:30,23.0,83.21,3.73,20.833142334761344,4
VOGO,2016-01-29 04:30:00+05:30,22.0,88.43,0.93,20.537736593904267,4
VOGO,2016-01-29 05:00:00+05:30,21.0,94.01,1.24,20.26093566375306,5
VOGO,2016-01-30 08:30:00+05:30,22.0,88.43,1.55,20.537736593904267,8
VOGO,2016-01-30 10:00:00+05:30,24.0,78.34,3.73,21.145134339610852,10
VOGO,2016-01-30 13:30:00+05:30,31.0,40.41,3.73,21.343908822117765,13
VOGO,2016-01-30 14:00:00+05:30,32.0,35.81,3.73,21.193129364543605,14
VOGO,2016-01-30 14:30:00+05:30,32.0,35.81,3.73,21.193129364543605,14
VOGO,2016-01-30 15:00:00+05:30,33.0,33.84,3.73,21.539499773362824,15
VOGO,2016-01-30 15:30:00+05:30,33.0,33.84,3.73,21.539499773362824,15
VOGO,2016-01-30 16:30:00+05:30,33.0,33.84,3.73,21.539499773362824,16
VOGO,2016-01-30 18:00:00+05:30,30.0,51.72,3.73,22.597901796610376,18
VOGO,2016-01-30 18:30:00+05:30,29.0,58.32,3.11,22.82562571842886,18
VOGO,2016-01-31 04:30:00+05:30,22.0,94.06,1.86,21.261516803125094,4
VOGO,2016-01-31 08:30:00+05:30,24.0,78.34,1.55,21.145134339610852,8
VOGO,2016-01-31 09:00:00+05:30,25.0,73.78,1.86,21.46799626915433,9
VOGO,2016-01-31 09:30:00+05:30,26.0,69.52,1.86,21.800271394515033,9
VOGO,2016-01-31 10:00:00+05:30,27.0,57.84,2.49,20.96614146846061,10
VOGO,2016-01-31 10:30:00+05:30,28.0,54.55,3.73,21.328155601804912,10
VOGO,2016-01-31 11:30:00+05:30,31.0,43.07,3.73,21.864750414090658,11
VOGO,2016-02-01 14:00:00+05:30,32.0,43.34,3.73,22.746412607358668,14
VOGO,2016-02-02 08:30:00+05:30,24.0,73.61,3.11,20.50197318303141,8
VOGO,2016-02-02 22:00:00+05:30,26.0,65.33,3.11,21.19119023311408,22
VOGO,2016-02-03 04:30:00+05:30,23.0,88.51,1.55,21.52950129601747,4
VOGO,2016-02-03 05:30:00+05:30,22.0,88.43,1.55,20.537736593904267,5
VOGO,2016-02-03 06:00:00+05:30,22.0,88.43,1.55,20.537736593904267,6
VOGO,2016-02-03 09:00:00+05:30,24.0,88.59,1.24,22.52164549293567,9
VOGO,2016-02-03 11:30:00+05:30,29.0,58.32,2.49,22.82562571842886,11
VOGO,2016-02-03 23:30:00+05:30,26.0,78.62,2.49,23.09569749272355,23
