station,valid,tmpc,relh,vsby,wet_bulb_temp,hour
VOPC,2018-01-10 09:30:00+05:30,25.0,78.48,2.49,22.120039788177404,9
VOPC,2018-01-10 10:00:00+05:30,27.0,69.71,2.80,22.758339503163747,10
VOPC,2018-01-10 10:30:00+05:30,26.0,78.62,2.80,23.09569749272355,10
VOPC,2018-01-10 11:30:00+05:30,27.0,74.11,3.11,23.40150196065041,11
VOPC,2018-01-10 14:30:00+05:30,29.0,62.03,3.73,23.42139042804467,14
VOPC,2018-01-11 14:30:00+05:30,29.0,62.03,3.73,23.42139042804467,14
VOPC,2018-01-12 11:00:00+05:30,28.0,65.74,3.11,23.087446836244084,11
VOPC,2018-01-12 14:30:00+05:30,29.0,62.03,3.73,23.42139042804467,14
VOPC,2018-01-13 09:30:00+05:30,26.0,78.62,2.17,23.09569749272355,9
VOPC,2018-01-13 11:30:00+05:30,29.0,62.03,3.11,23.42139042804467,11
VOPC,2018-01-13 12:00:00+05:30,30.0,58.55,3.11,23.756264026926754,12
VOPC,2018-01-13 14:30:00+05:30,29.0,65.95,3.73,24.03831360249685,14
VOPC,2018-01-14 08:30:00+05:30,24.0,88.59,1.86,22.52164549293567,8
VOPC,2018-01-14 09:30:00+05:30,24.0,83.32,2.80,21.816313306630974,9
VOPC,2018-01-14 11:00:00+05:30,27.0,69.71,3.11,22.758339503163747,11
VOPC,2018-01-14 11:30:00+05:30,29.0,58.32,3.11,22.82562571842886,11
VOPC,2018-01-14 12:00:00+05:30,30.0,55.04,3.11,23.16788141869611,12
VOPC,2018-01-14 14:30:00+05:30,29.0,62.03,3.73,23.42139042804467,14
VOPC,2018-01-15 10:30:00+05:30,25.0,78.48,1.86,22.120039788177404,10
VOPC,2018-01-15 11:00:00+05:30,28.0,65.74,2.17,23.087446836244084,11
VOPC,2018-01-15 11:30:00+05:30,30.0,58.55,2.80,23.756264026926754,11
VOPC,2018-01-15 13:30:00+05:30,31.0,51.98,3.11,23.511017422185677,13
VOPC,2018-01-16 08:30:00+05:30,23.0,94.1,1.24,22.261012892001087,8
VOPC,2018-01-16 09:30:00+05:30,24.0,88.59,1.86,22.52164549293567,9
VOPC,2018-01-16 10:00:00+05:30,25.0,78.48,2.17,22.120039788177404,10
VOPC,2018-01-16 10:30:00+05:30,26.0,83.55,2.49,23.78571575499304,10
VOPC,2018-01-16 11:00:00+05:30,26.0,78.62,2.80,23.09569749272355,11
VOPC,2018-01-16 11:30:00+05:30,27.0,74.11,3.11,23.40150196065041,11
VOPC,2018-01-16 12:00:00+05:30,27.0,74.11,3.11,23.40150196065041,12
VOPC,2018-01-16 12:30:00+05:30,28.0,69.9,3.11,23.71755221657347,12
VOPC,2018-01-17 08:30:00+05:30,23.0,88.51,1.86,21.52950129601747,8
VOPC,2018-01-17 09:30:00+05:30,25.0,83.44,2.49,22.801408362969315,9
VOPC,2018-01-17 10:00:00+05:30,26.0,83.55,3.11,23.78571575499304,10
VOPC,2018-01-17 10:30:00+05:30,26.0,83.55,3.11,23.78571575499304,10
VOPC,2018-01-17 11:00:00+05:30,27.0,74.11,3.11,23.40150196065041,11
VOPC,2018-01-17 11:30:00+05:30,28.0,74.28,3.11,24.370401437634545,11
VOPC,2018-01-17 12:00:00+05:30,28.0,78.9,3.11,25.049261573235107,12
VOPC,2018-01-17 12:30:00+05:30,29.0,70.08,3.11,24.676373290171462,12
VOPC,2018-01-17 13:00:00+05:30,29.0,70.08,3.11,24.676373290171462,13
VOPC,2018-01-17 13:30:00+05:30,30.0,66.15,3.11,24.988919534254464,13
VOPC,2018-01-17 14:30:00+05:30,30.0,62.25,3.73,24.36277392785916,14
VOPC,2018-01-17 15:00:00+05:30,30.0,62.25,3.73,24.36277392785916,15
VOPC,2018-01-17 15:30:00+05:30,30.0,62.25,3.73,24.36277392785916,15
VOPC,2018-01-17 16:30:00+05:30,30.0,62.25,3.73,24.36277392785916,16
VOPC,2018-01-18 08:00:00+05:30,24.0,94.14,2.49,23.260686047833286,8
VOPC,2018-01-18 08:30:00+05:30,25.0,83.44,3.11,22.801408362969315,8
VOPC,2018-01-18 09:00:00+05:30,25.0,83.44,3.11,22.801408362969315,9
VOPC,2018-01-18 09:30:00+05:30,25.0,83.44,3.11,22.801408362969315,9
VOPC,2018-01-18 10:00:00+05:30,26.0,78.62,3.11,23.09569749272355,10
VOPC,2018-01-18 10:30:00+05:30,26.0,78.62,3.73,23.09569749272355,10
VOPC,2018-01-18 11:00:00+05:30,27.0,74.11,3.73,23.40150196065041,11
VOPC,2018-01-18 11:30:00+05:30,28.0,69.9,3.73,23.71755221657347,11
