hour,wet_bulb_temp
0,24.79514531010237
1,24.644136528651256
2,24.481166453817796
3,24.373282196481
4,24.252259997324433
5,24.068454576232437
6,23.975884084111623
7,24.196842762413077
8,24.761917342654534
9,25.28580711858351
10,25.57383787739536
11,25.736670061581215
12,25.856463018395857
13,25.92613395077287
14,25.947030323237133
15,25.916629786680637
16,25.813802902402973
17,25.628969636382845
18,25.405453167929053
19,25.22301155482888
20,25.112612023721542
21,25.027686339185575
22,24.923984925350375
23,24.867229342115767
