station,valid,tmpc,relh,vsby,wet_bulb_temp,hour
VOTK,2015-12-09 07:30:00+05:30,25.0,94.19,1.86,24.261887498868386,7
VOTK,2015-12-09 08:30:00+05:30,27.0,78.76,3.11,24.07210542770969,8
VOTK,2015-12-09 09:30:00+05:30,28.0,74.28,3.11,24.370401437634545,9
VOTK,2015-12-09 10:00:00+05:30,28.0,69.9,3.11,23.71755221657347,10
VOTK,2015-12-09 10:30:00+05:30,28.0,69.9,3.11,23.71755221657347,10
VOTK,2015-12-09 11:00:00+05:30,28.0,69.9,3.11,23.71755221657347,11
VOTK,2015-12-09 11:30:00+05:30,28.0,69.9,3.11,23.71755221657347,11
VOTK,2015-12-09 12:00:00+05:30,27.0,78.76,3.11,24.07210542770969,12
VOTK,2015-12-09 13:00:00+05:30,29.0,70.08,3.73,24.676373290171462,13
VOTK,2015-12-09 13:30:00+05:30,29.0,70.08,3.73,24.676373290171462,13
VOTK,2015-12-09 14:00:00+05:30,29.0,65.95,3.73,24.03831360249685,14
VOTK,2015-12-09 14:30:00+05:30,29.0,65.95,3.73,24.03831360249685,14
VOTK,2015-12-09 15:00:00+05:30,30.0,62.25,3.73,24.36277392785916,15
VOTK,2015-12-09 15:30:00+05:30,31.0,62.47,3.73,25.305624306474723,15
VOTK,2015-12-09 16:00:00+05:30,31.0,62.47,3.73,25.305624306474723,16
VOTK,2015-12-09 16:30:00+05:30,30.0,62.25,3.73,24.36277392785916,16
VOTK,2015-12-10 06:30:00+05:30,25.0,88.67,2.49,23.51416867443772,6
VOTK,2015-12-10 07:00:00+05:30,26.0,83.55,2.49,23.78571575499304,7
VOTK,2015-12-10 08:00:00+05:30,27.0,78.76,3.11,24.07210542770969,8
VOTK,2015-12-10 08:30:00+05:30,27.0,78.76,3.11,24.07210542770969,8
VOTK,2015-12-10 09:00:00+05:30,28.0,74.28,3.11,24.370401437634545,9
VOTK,2015-12-10 09:30:00+05:30,29.0,65.95,3.11,24.03831360249685,9
VOTK,2015-12-10 10:00:00+05:30,30.0,66.15,3.73,24.988919534254464,10
VOTK,2015-12-10 10:30:00+05:30,29.0,65.95,3.11,24.03831360249685,10
VOTK,2015-12-10 11:00:00+05:30,30.0,66.15,3.73,24.988919534254464,11
VOTK,2015-12-10 11:30:00+05:30,30.0,66.15,3.73,24.988919534254464,11
VOTK,2015-12-10 12:00:00+05:30,30.0,66.15,3.73,24.988919534254464,12
VOTK,2015-12-10 12:30:00+05:30,30.0,66.15,3.73,24.988919534254464,12
VOTK,2015-12-10 13:00:00+05:30,30.0,66.15,3.73,24.988919534254464,13
VOTK,2015-12-10 13:30:00+05:30,30.0,66.15,3.73,24.988919534254464,13
VOTK,2015-12-10 14:00:00+05:30,31.0,62.47,3.73,25.305624306474723,14
VOTK,2015-12-10 14:30:00+05:30,31.0,62.47,3.73,25.305624306474723,14
VOTK,2015-12-10 15:00:00+05:30,30.0,62.25,3.73,24.36277392785916,15
VOTK,2015-12-10 15:30:00+05:30,30.0,66.15,3.73,24.988919534254464,15
VOTK,2015-12-10 16:00:00+05:30,30.0,66.15,3.73,24.988919534254464,16
VOTK,2015-12-10 16:30:00+05:30,30.0,66.15,3.73,24.988919534254464,16
VOTK,2015-12-11 11:30:00+05:30,26.0,94.23,3.11,25.261936744372182,11
VOTK,2015-12-11 12:00:00+05:30,26.0,94.23,3.11,25.261936744372182,12
VOTK,2015-12-11 12:30:00+05:30,26.0,94.23,3.11,25.261936744372182,12
VOTK,2015-12-11 13:00:00+05:30,26.0,94.23,3.11,25.261936744372182,13
VOTK,2015-12-11 13:30:00+05:30,26.0,94.23,3.11,25.261936744372182,13
VOTK,2015-12-11 14:00:00+05:30,26.0,94.23,3.11,25.261936744372182,14
VOTK,2015-12-11 14:30:00+05:30,27.0,88.83,3.11,25.50034994752889,14
VOTK,2015-12-11 15:00:00+05:30,28.0,78.9,3.11,25.049261573235107,15
VOTK,2015-12-11 15:30:00+05:30,28.0,74.28,3.11,24.370401437634545,15
VOTK,2015-12-11 16:00:00+05:30,28.0,74.28,3.11,24.370401437634545,16
VOTK,2015-12-11 16:30:00+05:30,28.0,74.28,3.11,24.370401437634545,16
VOTK,2015-12-12 06:30:00+05:30,25.0,100.0,2.49,25.045575127179422,6
VOTK,2015-12-12 07:00:00+05:30,25.0,100.0,1.24,25.045575127179422,7
VOTK,2015-12-12 07:30:00+05:30,25.0,100.0,2.49,25.045575127179422,7
VOTK,2015-12-12 08:30:00+05:30,26.0,94.23,3.11,25.261936744372182,8
VOTK,2015-12-12 10:00:00+05:30,27.0,88.83,3.11,25.50034994752889,10
VOTK,2015-12-12 10:30:00+05:30,28.0,83.77,3.73,25.755991131398783,10
VOTK,2015-12-12 11:00:00+05:30,29.0,74.44,3.73,25.33875508016921,11
VOTK,2015-12-12 11:30:00+05:30,30.0,70.27,3.73,25.63783219371119,11
VOTK,2015-12-12 12:00:00+05:30,30.0,70.27,3.73,25.63783219371119,12
VOTK,2015-12-12 12:30:00+05:30,30.0,66.15,3.73,24.988919534254464,12
VOTK,2015-12-12 13:00:00+05:30,30.0,66.15,3.73,24.988919534254464,13
VOTK,2015-12-12 13:30:00+05:30,31.0,62.47,4.35,25.305624306474723,13
VOTK,2015-12-12 14:00:00+05:30,31.0,62.47,4.35,25.305624306474723,14
VOTK,2015-12-12 14:30:00+05:30,31.0,55.29,4.35,24.091350323445383,14
VOTK,2015-12-12 15:00:00+05:30,31.0,58.78,4.35,24.688523773926587,15
VOTK,2015-12-12 15:30:00+05:30,30.0,66.15,3.73,24.988919534254464,15
VOTK,2015-12-12 16:00:00+05:30,30.0,66.15,3.73,24.988919534254464,16
VOTK,2015-12-12 16:30:00+05:30,29.0,70.08,3.73,24.676373290171462,16
VOTK,2015-12-13 10:00:00+05:30,27.0,78.76,3.73,24.07210542770969,10
VOTK,2015-12-13 10:30:00+05:30,28.0,74.28,3.73,24.370401437634545,10
VOTK,2015-12-13 11:00:00+05:30,28.0,69.9,3.73,23.71755221657347,11
VOTK,2015-12-13 11:30:00+05:30,29.0,65.95,3.73,24.03831360249685,11
VOTK,2015-12-13 13:30:00+05:30,30.0,58.55,4.97,23.756264026926754,13
VOTK,2015-12-13 14:30:00+05:30,31.0,55.29,4.97,24.091350323445383,14
VOTK,2015-12-13 15:00:00+05:30,31.0,55.29,4.97,24.091350323445383,15
VOTK,2015-12-13 15:30:00+05:30,31.0,58.78,4.97,24.688523773926587,15
VOTK,2015-12-14 08:30:00+05:30,27.0,78.76,3.11,24.07210542770969,8
VOTK,2015-12-14 09:30:00+05:30,27.0,78.76,3.73,24.07210542770969,9
VOTK,2015-12-14 11:00:00+05:30,28.0,74.28,3.73,24.370401437634545,11
VOTK,2015-12-14 12:00:00+05:30,29.0,70.08,3.73,24.676373290171462,12
VOTK,2015-12-14 12:30:00+05:30,29.0,65.95,3.73,24.03831360249685,12
VOTK,2015-12-14 13:30:00+05:30,30.0,62.25,3.73,24.36277392785916,13
VOTK,2015-12-14 14:00:00+05:30,31.0,58.78,3.73,24.688523773926587,14
VOTK,2015-12-14 15:00:00+05:30,31.0,55.29,4.35,24.091350323445383,15
VOTK,2015-12-14 15:30:00+05:30,31.0,58.78,4.35,24.688523773926587,15
VOTK,2015-12-14 16:00:00+05:30,30.0,62.25,4.35,24.36277392785916,16
VOTK,2015-12-15 11:00:00+05:30,28.0,74.28,3.73,24.370401437634545,11
VOTK,2015-12-15 11:30:00+05:30,29.0,65.95,3.73,24.03831360249685,11
VOTK,2015-12-15 12:30:00+05:30,30.0,62.25,3.73,24.36277392785916,12
VOTK,2015-12-15 13:30:00+05:30,30.0,58.55,3.73,23.756264026926754,13
VOTK,2015-12-15 14:00:00+05:30,31.0,58.78,4.35,24.688523773926587,14
VOTK,2015-12-15 14:30:00+05:30,31.0,55.29,4.35,24.091350323445383,14
VOTK,2015-12-15 15:00:00+05:30,31.0,55.29,4.35,24.091350323445383,15
VOTK,2015-12-15 15:30:00+05:30,31.0,58.78,4.35,24.688523773926587,15
VOTK,2015-12-15 16:00:00+05:30,30.0,62.25,4.35,24.36277392785916,16
VOTK,2015-12-15 16:30:00+05:30,29.0,65.95,4.35,24.03831360249685,16
VOTK,2015-12-16 08:00:00+05:30,26.0,83.55,3.11,23.78571575499304,8
VOTK,2015-12-16 08:30:00+05:30,27.0,78.76,3.73,24.07210542770969,8
VOTK,2015-12-16 09:30:00+05:30,27.0,78.76,3.73,24.07210542770969,9
VOTK,2015-12-16 10:00:00+05:30,28.0,74.28,3.73,24.370401437634545,10
VOTK,2015-12-16 10:30:00+05:30,28.0,74.28,3.73,24.370401437634545,10
VOTK,2015-12-16 11:00:00+05:30,29.0,70.08,3.73,24.676373290171462,11
VOTK,2015-12-16 11:30:00+05:30,29.0,65.95,3.73,24.03831360249685,11
VOTK,2015-12-16 12:30:00+05:30,30.0,62.25,3.73,24.36277392785916,12
VOTK,2015-12-16 13:30:00+05:30,30.0,62.25,3.73,24.36277392785916,13
VOTK,2015-12-16 14:00:00+05:30,31.0,55.29,3.73,24.091350323445383,14
VOTK,2015-12-16 15:00:00+05:30,31.0,55.29,3.73,24.091350323445383,15
VOTK,2015-12-16 15:30:00+05:30,31.0,55.29,3.73,24.091350323445383,15
VOTK,2015-12-17 08:30:00+05:30,27.0,78.76,3.11,24.07210542770969,8
VOTK,2015-12-17 09:00:00+05:30,27.0,78.76,3.11,24.07210542770969,9
VOTK,2015-12-17 09:30:00+05:30,28.0,74.28,3.73,24.370401437634545,9
VOTK,2015-12-17 10:00:00+05:30,28.0,74.28,3.73,24.370401437634545,10
VOTK,2015-12-17 10:30:00+05:30,29.0,70.08,3.73,24.676373290171462,10
VOTK,2015-12-17 11:00:00+05:30,29.0,65.95,3.73,24.03831360249685,11
VOTK,2015-12-17 11:30:00+05:30,30.0,62.25,3.73,24.36277392785916,11
VOTK,2015-12-17 14:00:00+05:30,31.0,55.29,3.73,24.091350323445383,14
VOTK,2015-12-17 14:30:00+05:30,31.0,55.29,3.73,24.091350323445383,14
VOTK,2015-12-17 15:00:00+05:30,31.0,55.29,4.35,24.091350323445383,15
VOTK,2015-12-17 15:30:00+05:30,30.0,62.25,4.35,24.36277392785916,15
VOTK,2015-12-18 12:30:00+05:30,27.0,88.83,3.73,25.50034994752889,12
VOTK,2015-12-18 13:00:00+05:30,27.0,83.66,3.73,24.770577047363034,13
VOTK,2015-12-18 13:30:00+05:30,27.0,78.76,3.73,24.07210542770969,13
VOTK,2015-12-18 14:00:00+05:30,27.0,78.76,4.35,24.07210542770969,14
VOTK,2015-12-18 15:00:00+05:30,29.0,70.08,4.35,24.676373290171462,15
VOTK,2015-12-18 16:00:00+05:30,29.0,70.08,4.35,24.676373290171462,16
VOTK,2015-12-18 16:30:00+05:30,29.0,65.95,4.35,24.03831360249685,16
VOTK,2015-12-18 17:00:00+05:30,29.0,65.95,4.35,24.03831360249685,17
